 IR2_CC
251
247
20813
21024
591
608
497
492
15285
199
15846
20906
559
616
487
497
474
328
13526
12129
571
615
496
492
15355
17273
16155
17294
478
626
497
492
260
17520
20804
16713
461
606
483
493
246
20623
20824
264
20623
473
268
460
15345
17449
16052
17260
589
620
499
484
609
17448
475
17374
540
623
491
497
15382
17524
16152
16890
517
619
498
491
15423
17455
16442
17366
478
619
499
492
15417
17424
16467
17352
474
621
493
491
262
20618
20801
338
538
614
500
493
245
20660
20793
313
530
611
497
491
15329
17396
16196
17275
464
619
495
483
15431
20638
15725
336
537
610
498
491
15443
17497
16144
16969
463
617
495
497
15416
20542
15920
345
539
609
496
482
257
17456
20835
17283
560
623
493
499
15408
20637
15614
348
612
616
496
491
18654
17563
9774
16713
508
620
502
497
15411
17469
16142
17138
474
619
496
492
15400
17495
16031
17082
467
618
494
492
15411
17443
16279
17327
463
626
496
481
20841
17442
236
17332
453
622
492
497
15408
17436
15994
17361
467
619
501
491
15421
437
15627
811
574
617
505
488
15420
17481
16501
16852
468
620
495
490
15458
17536
16125
16887
469
616
494
491
15390
17547
16459
16890
464
618
496
492
15430
17437
16277
17283
467
611
501
494
15449
17418
16564
17308
464
616
494
495
15416
17572
16580
16537
467
607
495
491
20862
20670
278
418
525
612
497
490
257
17432
20750
17230
461
618
484
493
15341
17507
16511
17050
466
616
485
492
15388
20633
16184
350
534
609
502
490
15402
20594
16366
264
18873
481
294
462
605
17419
477
17272
578
622
492
497
15345
20600
15945
349
618
611
496
491
15400
17646
16314
15666
521
616
495
492
15386
20630
15992
348
543
406
427
12876
15383
17497
16682
16879
472
619
502
494
15399
17490
16711
17007
467
607
495
492
15411
17574
16593
16638
471
617
495
492
20856
17454
239
17288
461
620
493
494
15448
226
15633
20788
468
628
486
489
15411
213
16424
20900
467
775
497
482
15389
20565
16442
345
533
722
495
488
15420
17449
16382
17194
462
685
502
493
15404
17422
16667
17294
468
651
487
492
15395
224
16859
20963
470
628
495
492
15397
17607
16919
15742
469
616
501
738
15382
17540
16581
16748
473
617
486
499
15390
17552
16701
16836
18839
275
227
20671
20852
17562
246
16840
18674
502
309
595
15623
17447
14777
17401
20657
490
266
549
15387
17431
16692
17364
589
630
492
557
15400
17409
16577
17367
556
621
499
532
20859
329
318
13637
553
616
499
513
15365
17362
16726
17330
491
621
496
498
15398
20623
16414
335
543
611
498
498
15456
17448
16522
17272
468
630
496
492
15430
17448
16543
17409
477
625
495
493
15410
17439
16598
17313
464
618
495
492
260
17449
20757
17326
468
630
496
495
15324
17505
16668
16938
467
617
492
483
265
17625
20605
16352
20151
486
278
465
15503
226
16014
21010
611
618
496
491
15451
17396
16391
17373
568
608
494
496
15533
17456
15960
17353
518
608
495
492
20854
17438
237
17415
490
611
493
494
15386
17433
16502
17430
470
620
495
482
258
17401
20805
17388
471
629
495
493
15373
20601
16308
348
538
601
497
480
608
17526
480
16877
452
624
493
497
15337
20628
16039
344
504
388
389
18541
15404
17645
16695
16044
456
619
484
621
258
17448
20796
17179
462
620
493
594
15355
17450
16528
17415
467
621
502
557
15395
20611
16539
335
536
606
494
533
15390
17441
16889
17145
462
615
494
505
15382
17529
16711
16961
467
618
494
498
15389
17538
16764
16845
293
537
12678
444
15388
17436
16605
17419
467
619
495
492
15378
20648
16578
315
6286
577
440
481
15354
434
16695
762
708
607
509
497
20850
17400
238
17120
542
614
502
501
15345
17448
16804
17199
520
608
494
493
18667
17427
9327
17365
486
627
499
492
15339
17440
16773
17375
469
619
502
495
15372
17477
16913
17258
465
619
496
492
259
17429
20769
17344
457
621
484
492
15306
17435
16811
17401
468
619
493
481
15390
17450
17082
17356
20325
489
268
453
15368
17441
16918
17416
19619
498
286
465
15380
17443
16730
17323
590
622
485
491
15373
17435
17007
17356
557
621
501
485
15405
17464
16981
17368
20225
493
276
466
15372
17427
16988
17367
20732
488
269
461
20850
17450
243
17208
20214
496
278
466
15358
17445
16784
17333
590
616
502
493
15351
17552
16829
16771
560
619
495
495
20909
20633
278
407
661
602
497
490
20850
17397
223
17270
546
627
495
495
15353
20644
16724
261
20697
474
268
463
15365
17410
17044
17247
590
620
499
492
15360
17426
16917
17357
556
618
496
492
15363
17420
16845
17388
524
610
495
490
20846
17451
237
17314
484
621
495
501
15331
17432
16841
17348
469
620
496
495
15386
17452
16898
17232
471
620
494
493
20849
17470
239
17122
459
624
483
499
15334
17430
16843
17418
463
618
493
493
15346
17523
16935
16952
453
618
496
494
15358
223
16789
20960
469
620
488
490
15351
17376
16915
17366
452
620
497
497
306
264
20819
20908
469
620
496
493
15289
17468
16881
16913
465
619
496
492
15360
17472
16899
17101
464
618
485
493
20843
17431
238
17279
461
611
493
494
